The Elder Scrolls V: Skyrim;X360;2011;Role-Playing;Bethesda Softworks;5,05;2,79;0,10;0,85;8,79;96,00;89,00;8,40;3589;Bethesda Game Studios;M
Super Mario Kart;SNES;1992;Racing;Nintendo;3,54;1,24;3,81;0,18;8,76;;;;;;
FIFA 16;PS4;2015;Sports;Electronic Arts;1,12;6,12;0,06;1,28;8,57;82,00;42,00;4,30;896;EA Sports;E
Halo 2;XB;2004;Shooter;Microsoft Game Studios;6,82;1,53;0,05;0,08;8,49;95,00;91,00;8,20;1218;Bungie Software;M
Wii Party;Wii;2010;Misc;Nintendo;1,75;3,47;2,49;0,67;8,38;68,00;42,00;7,40;54;Nd Cube;E
Mario Party 8;Wii;2007;Misc;Nintendo;3,74;2,24;1,58;0,70;8,27;62,00;41,00;6,30;190;Hudson;E
FIFA Soccer 13;PS3;2012;Action;Electronic Arts;1,06;5,01;0,13;1,97;8,16;88,00;37,00;6,60;348;Electronic Arts;E
GoldenEye 007;N64;1997;Shooter;Nintendo;5,80;2,01;0,13;0,15;8,09;;;;;;
Pokemon Black 2/Pokemon White 2;DS;2012;Role-Playing;Nintendo;2,79;1,72;3,14;0,41;8,07;;;;;;
Final Fantasy X;PS2;2001;Role-Playing;Sony Computer Entertainment;2,91;2,07;2,73;0,33;8,05;92,00;53,00;8,70;1056;SquareSoft;T
The Sims 3;PC;2009;Simulation;Electronic Arts;0,99;6,42;0,00;0,60;8,01;86,00;75,00;7,60;886;The Sims Studio;T
Mario & Sonic at the Olympic Games;Wii;2007;Sports;Sega;2,57;3,86;0,66;0,91;7,99;;;;;;
Star Wars Battlefront (2015);PS4;2015;Shooter;Electronic Arts;2,99;3,49;0,22;1,28;7,98;;;;;;
Final Fantasy VIII;PS;1999;Role-Playing;SquareSoft;2,28;1,72;3,63;0,23;7,86;90,00;24,00;8,60;644;SquareSoft;T
Pac-Man;2600;1982;Puzzle;Atari;7,28;0,45;0,00;0,08;7,81;;;;;;
Pokémon Platinum Version;DS;2008;Role-Playing;Nintendo;2,76;1,72;2,69;0,54;7,72;83,00;46,00;8,50;203;Game Freak;E
Grand Theft Auto: Liberty City Stories;PSP;2005;Action;Take-Two Interactive;2,90;2,81;0,24;1,73;7,69;88,00;65,00;7,60;451;Rockstar Leeds;M
Call of Duty: Advanced Warfare;PS4;2014;Shooter;Activision;2,81;3,48;0,14;1,23;7,66;83,00;39,00;5,70;1443;Sledgehammer Games;M
The Legend of Zelda: Ocarina of Time;N64;1998;Action;Nintendo;4,10;1,89;1,45;0,16;7,60;;;;;;
FIFA 17;PS4;2016;Sports;Electronic Arts;0,66;5,75;0,08;1,11;7,59;85,00;41,00;5,00;398;EA Sports, EA Vancouver;E
Crash Bandicoot 2: Cortex Strikes Back;PS;1997;Platform;Sony Computer Entertainment;3,78;2,17;1,31;0,31;7,58;;;;;;
Super Smash Bros. for Wii U and 3DS;3DS;2014;Fighting;Nintendo;3,27;1,37;2,43;0,48;7,55;;;;;;
Super Mario Galaxy 2;Wii;2010;Platform;Nintendo;3,56;2,35;0,98;0,62;7,51;97,00;87,00;9,10;1854;Nintendo EAD Tokyo;E
Super Mario Bros. 2;NES;1988;Platform;Nintendo;5,39;1,18;0,70;0,19;7,46;;;;;;
Call of Duty: Black Ops 3;XOne;2015;Shooter;Activision;4,59;2,11;0,01;0,68;7,39;;;;;;
Call of Duty: World at War;X360;2008;Shooter;Activision;4,81;1,88;0,00;0,69;7,38;84,00;84,00;7,60;580;Treyarch;M
Battlefield 3;X360;2011;Shooter;Electronic Arts;4,46;2,11;0,06;0,69;7,32;84,00;57,00;7,40;2142;EA DICE;M
Need for Speed Underground;PS2;2003;Racing;Electronic Arts;3,27;2,83;0,08;1,02;7,20;85,00;33,00;8,60;171;EA Black Box;E
Just Dance;Wii;2009;Misc;Ubisoft;3,48;2,99;0,00;0,73;7,20;49,00;21,00;8,00;110;Ubisoft Paris;E10+
Battlefield 3;PS3;2011;Shooter;Electronic Arts;2,85;2,89;0,35;1,08;7,17;85,00;38,00;7,50;1761;EA DICE;M
Fallout 4;PS4;2015;Role-Playing;Bethesda Softworks;2,53;3,27;0,24;1,13;7,16;87,00;58,00;6,50;4228;Bethesda Game Studios;M
Tekken 3;PS;1998;Fighting;Sony Computer Entertainment;3,27;2,22;1,40;0,29;7,16;96,00;15,00;9,10;367;Namco;T
The Legend of Zelda: Twilight Princess;Wii;2006;Action;Nintendo;3,74;2,14;0,60;0,68;7,15;95,00;73,00;9,00;1658;Nintendo;T
Pokemon Sun/Moon;3DS;2016;Role-Playing;Nintendo;2,98;1,45;2,26;0,45;7,14;;;;;;
